event_id,date,year,kelurahan,area,rt,rw,location,event_type,depth_cm,cause,source,source_url,latitude,longitude,coordinate_method,scope,coordinate_note
JTG-0033,2025-04-07,2025,Kampung Melayu,Kebon Pala II,"12,13,10,11","04,05",Jl. Kebon Pala II,genangan,30.0,Luapan Kali Ciliwung,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0034,2025-04-08,2025,Kampung Melayu,Kebon Pala II,"12,13,10,11","04,05",Jl. Kebon Pala II,banjir,40.0,Luapan Kali Ciliwung,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0035,2025-05-03,2025,Cipinang Muara,Cipinang Bali,12,13,Jl. Cipinang Bali RT 12/RW 13,banjir,45.0,Kenaikan aliran Sunter Hulu,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.2379063,106.8894818,road_proxy,"Kecamatan Jatinegara, Jakarta Timur","Coordinate is a representative point for the named road/locality, not a surveyed flood polygon."
JTG-0036,2025-05-03,2025,Bidara Cina,Tanjung Lengkong,,,Jl. Tanjung Lengkong,genangan,30.0,Luapan Sungai Ciliwung,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.23751,106.86612,locality_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is a locality/road representative point.
JTG-0037,2025-05-15,2025,Bidara Cina,Baiduri Bulan / Tanjung Lengkong,"6,12,5","11,03,07",Jl. Baiduri Bulan; Jl. Tanjung Lengkong,banjir,80.0,Luapan Sungai Ciliwung,Kemenkes/Pusdalops,https://penanggulangankrisis.kemkes.go.id/__pub/files61424Laporan_Pusat_Krisis_Kesehatan_tanggal_18_Mei_2025_pukul_07.30_WIB.pdf,-6.2397888,106.8674026,road_proxy,"Kecamatan Jatinegara, Jakarta Timur","Coordinate is a representative point for the named road/locality, not a surveyed flood polygon."
JTG-0038,2025-05-15,2025,Kampung Melayu,Kebon Pala II,"12,13,10,11","04,05",Jl. Kebon Pala II,banjir,70.0,Luapan Sungai Ciliwung,Kemenkes/Pusdalops,https://penanggulangankrisis.kemkes.go.id/__pub/files61424Laporan_Pusat_Krisis_Kesehatan_tanggal_18_Mei_2025_pukul_07.30_WIB.pdf,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0039,2025-05-23,2025,Bidara Cina,Baiduri Bulan / Tanjung Lengkong,"6,12,5,14","11,03,07",Jl. Baiduri Bulan; Jl. Tanjung Lengkong,genangan,30.0,Luapan Sungai Ciliwung,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.2397888,106.8674026,road_proxy,"Kecamatan Jatinegara, Jakarta Timur","Coordinate is a representative point for the named road/locality, not a surveyed flood polygon."
JTG-0040,2025-05-23,2025,Kampung Melayu,Kebon Pala II,"12,13,10,11","04,05",Jl. Kebon Pala II,banjir,60.0,Luapan Sungai Ciliwung,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0041,2025-06-17,2025,Kampung Melayu,Kebon Pala II,"12,13,10,11","04,05",Jl. Kebon Pala II,genangan,20.0,Luapan Ciliwung akibat hujan lokal,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0042,2025-06-18,2025,Kampung Melayu,Kebon Pala II,"12,13,10,11","04,05",Jl. Kebon Pala II,banjir,40.0,Luapan Ciliwung akibat hujan lokal,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0043,2025-06-18,2025,Bidara Cina,Tanjung Lengkong / Gg Macan,"5,14",07,Jl. Tanjung Lengkong / Gg. Macan,genangan,20.0,Luapan Ciliwung akibat hujan lokal,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.23751,106.86612,locality_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is a locality/road representative point.
JTG-0044,2025-07-06,2025,Kampung Melayu,Kebon Pala II,"12,13,10,11","04,05",Jl. Kebon Pala II,banjir,180.0,Katulampa Siaga 2 + luapan Ciliwung,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0045,2025-07-06,2025,Bidara Cina,Baiduri Bulan / Tanjung Lengkong,"12,6,15,14","03,11,07",Jl. Baiduri Bulan; Jl. Tanjung Lengkong,banjir,240.0,Katulampa Siaga 2 + luapan Ciliwung,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.2397888,106.8674026,road_proxy,"Kecamatan Jatinegara, Jakarta Timur","Coordinate is a representative point for the named road/locality, not a surveyed flood polygon."
JTG-0046,2025-07-07,2025,Cipinang Muara,Cipinang Bali,12,13,Jl. Cipinang Bali RT 12/RW 13,banjir,30.0,Aliran Sunter Hulu Siaga II,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.2379063,106.8894818,road_proxy,"Kecamatan Jatinegara, Jakarta Timur","Coordinate is a representative point for the named road/locality, not a surveyed flood polygon."
JTG-0047,2025-07-07,2025,Bidara Cina,Baiduri Bulan / Tanjung Lengkong,"2,6,10,13,15,14","11,03,07",Jl. Baiduri Bulan; Jl. Tanjung Lengkong,banjir,250.0,Luapan Kali Ciliwung,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.2397888,106.8674026,road_proxy,"Kecamatan Jatinegara, Jakarta Timur","Coordinate is a representative point for the named road/locality, not a surveyed flood polygon."
JTG-0048,2025-07-07,2025,Kampung Melayu,Kebon Pala II,"12,13,10,11","04,05",Jl. Kebon Pala II,banjir,220.0,Luapan Kali Ciliwung,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0049,2025-07-08,2025,Kampung Melayu,Kebon Pala II,"12,13,10,11","04,05",Jl. Kebon Pala II,banjir,60.0,Luapan Kali Ciliwung,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0050,2025-07-08,2025,Bidara Cina,Baiduri Bulan / Tanjung Lengkong,"12,2,6,10,13,15,14","03,11,07",Jl. Baiduri Bulan; Jl. Tanjung Lengkong,banjir,90.0,Luapan Kali Ciliwung,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.2397888,106.8674026,road_proxy,"Kecamatan Jatinegara, Jakarta Timur","Coordinate is a representative point for the named road/locality, not a surveyed flood polygon."
JTG-0051,2025-08-04,2025,Kampung Melayu,Kebon Pala II,"12,13,10,11","04,05",Jl. Kebon Pala II,banjir,75.0,Katulampa Siaga 3 + Ciliwung masuk permukiman,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0052,2025-08-04,2025,Bidara Cina,Baiduri Bulan / Tanjung Lengkong,"12,6,15,14","03,11,07",Jl. Baiduri Bulan; Jl. Tanjung Lengkong,banjir,65.0,Katulampa Siaga 3 + Ciliwung masuk permukiman,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.2397888,106.8674026,road_proxy,"Kecamatan Jatinegara, Jakarta Timur","Coordinate is a representative point for the named road/locality, not a surveyed flood polygon."
JTG-0053,2025-08-04,2025,Cipinang Muara,Cipinang Bali,12,13,Jl. Cipinang Bali RT 12/RW 13,banjir,80.0,Luapan Kali Sunter Hulu,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.2379063,106.8894818,road_proxy,"Kecamatan Jatinegara, Jakarta Timur","Coordinate is a representative point for the named road/locality, not a surveyed flood polygon."
JTG-0054,2025-08-10,2025,Bidara Cina,Baiduri Bulan / Tanjung Lengkong,"12,6,15,14","03,11,07",Jl. Baiduri Bulan; Jl. Tanjung Lengkong,banjir,120.0,Luapan Kali Ciliwung,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.2397888,106.8674026,road_proxy,"Kecamatan Jatinegara, Jakarta Timur","Coordinate is a representative point for the named road/locality, not a surveyed flood polygon."
